[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Tag[ app_begin ] --START--
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001158s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001372s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | SQL: SHOW COLUMNS FROM `ibe_article` [ RunTime:0.016713s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | SQL: SELECT COUNT(*) AS tp_count FROM `ibe_article` LIMIT 1   [ RunTime:0.000195s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | SQL: SELECT `id`,`subject`,`author`,`createtime` FROM `ibe_article` ORDER BY id desc LIMIT 0,8   [ RunTime:0.000364s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 132 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 135 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 132 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 135 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 132 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] Undefined index: lastmodifytime IndexAction.class.php 第 135 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | SQL: SHOW COLUMNS FROM `ibe_bookinfo` [ RunTime:0.012856s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | SQL: SELECT `book_id`,`book_name`,`book_author`,`owner_id`,`insert_time` FROM `ibe_bookinfo` ORDER BY book_id desc  [ RunTime:0.000316s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | NOTIC: [8] A non well formed numeric value encountered IndexAction.class.php 第 54 行.
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Tag[ view_template ] --START--
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000564s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000620s ]
[ 2015-12-21T15:10:30+08:00 ] /iBE/admin.php | INFO: Tag[ view_parse ] --START--
